#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
xpjuice                                           ([no block])                                                                     = Liquid XP
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
liquid_fertilizer                                 (hatchery:liquid_fertilizer)                                                     = Liquid Fertilizer
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
